Subject,TP,FP,FN,Type
006_1,1,7,1,Macro
006_2,1,4,1,Macro
006_3,0,5,3,Macro
006_4,2,8,2,Macro
006_5,2,5,4,Macro
006_6,3,3,1,Macro
006_7,2,0,0,Macro
007_3,0,0,0,Macro
007_4,0,0,0,Macro
007_5,0,0,1,Macro
007_6,0,0,1,Macro
007_7,3,11,0,Macro
008_1,0,0,1,Macro
008_5,0,0,1,Macro
008_6,0,0,1,Macro
008_7,1,7,1,Macro
009_2,0,0,0,Macro
009_3,0,0,3,Macro
009_4,1,0,0,Macro
009_6,0,0,1,Macro
009_7,0,0,1,Macro
010_1,1,2,1,Macro
010_2,3,2,5,Macro
010_3,1,7,3,Macro
010_4,1,5,0,Macro
010_5,0,6,2,Macro
010_6,1,1,0,Macro
010_7,1,0,0,Macro
011_1,2,9,1,Macro
011_2,0,9,2,Macro
011_3,2,2,1,Macro
011_4,4,4,6,Macro
011_5,4,13,7,Macro
011_6,2,9,5,Macro
011_7,3,10,7,Macro
012_3,0,1,1,Macro
012_4,0,0,1,Macro
012_5,0,0,1,Macro
012_6,1,5,3,Macro
012_7,0,0,1,Macro
013_1,1,13,3,Macro
013_2,0,0,2,Macro
013_3,0,0,1,Macro
013_6,1,0,0,Macro
013_7,4,5,2,Macro
014_1,0,2,2,Macro
014_2,2,4,0,Macro
014_3,0,1,3,Macro
014_4,0,0,3,Macro
014_5,0,0,2,Macro
014_6,1,2,2,Macro
014_7,1,3,4,Macro
015_1,2,6,1,Macro
015_3,0,0,2,Macro
015_5,0,4,3,Macro
015_6,0,2,5,Macro
015_7,1,1,1,Macro
016_1,2,3,0,Macro
016_2,0,0,1,Macro
016_4,0,3,1,Macro
016_5,0,1,1,Macro
016_6,1,3,1,Macro
016_7,2,21,2,Macro
017_1,0,1,1,Macro
017_2,1,0,0,Macro
017_3,0,3,1,Macro
017_4,1,1,0,Macro
017_5,0,0,1,Macro
017_6,0,1,1,Macro
018_1,0,1,0,Macro
018_2,1,2,1,Macro
018_3,1,4,0,Macro
018_4,2,6,4,Macro
018_5,0,10,3,Macro
018_6,2,6,1,Macro
018_7,1,0,0,Macro
019_1,4,5,2,Macro
019_2,0,1,1,Macro
019_3,0,5,1,Macro
019_4,0,1,0,Macro
019_5,1,3,3,Macro
019_7,1,0,1,Macro
020_1,0,16,3,Macro
020_2,0,2,1,Macro
020_3,0,6,2,Macro
020_4,1,3,2,Macro
020_5,1,0,0,Macro
020_6,0,8,4,Macro
020_7,4,13,4,Macro
021_3,1,3,1,Macro
021_7,0,4,0,Macro
022_2,1,7,3,Macro
022_3,1,4,1,Macro
022_4,0,1,0,Macro
022_5,0,0,0,Macro
022_6,0,1,1,Macro
023_1,0,1,0,Macro
023_4,0,1,1,Macro
024_2,1,0,1,Macro
024_3,1,4,3,Macro
024_5,0,2,1,Macro
025_3,2,6,2,Macro
025_4,0,5,0,Macro
025_5,0,0,1,Macro
025_6,0,0,0,Macro
026_1,0,1,0,Macro
026_2,0,0,3,Macro
026_3,1,6,3,Macro
026_5,0,2,0,Macro
026_6,0,1,0,Macro
026_7,0,2,1,Macro
028_4,2,1,0,Macro
030_1,1,2,1,Macro
030_2,0,2,1,Macro
030_5,0,0,2,Macro
031_3,0,0,0,Macro
032_2,2,2,3,Macro
032_3,0,0,1,Macro
032_4,1,0,1,Macro
032_5,0,1,1,Macro
032_6,0,0,1,Macro
033_1,0,7,3,Macro
033_2,1,0,1,Macro
033_3,0,0,1,Macro
033_4,0,0,1,Macro
033_5,0,0,1,Macro
033_6,1,1,0,Macro
033_7,0,0,2,Macro
034_3,0,0,0,Macro
034_6,0,0,2,Macro
034_7,1,2,1,Macro
035_1,0,0,1,Macro
035_2,1,3,2,Macro
035_3,1,3,1,Macro
035_4,0,5,1,Macro
035_5,0,4,0,Macro
035_6,1,8,2,Macro
035_7,1,18,2,Macro
036_2,3,3,1,Macro
036_4,1,1,2,Macro
036_6,0,11,4,Macro
036_7,3,10,3,Macro
037_2,0,0,1,Macro
037_3,0,0,2,Macro
037_4,0,1,3,Macro
037_5,0,8,2,Macro
037_7,0,0,1,Macro
