Subject,TP,FP,FN,Type
006_1,2,14,3,Micro - 1/2
006_2,1,0,0,Micro - 1/2
006_3,1,0,1,Micro - 1/2
006_4,0,0,0,Micro - 1/2
006_5,0,1,3,Micro - 1/2
006_6,0,4,0,Micro - 1/2
006_7,0,1,0,Micro - 1/2
007_3,0,2,1,Micro - 1/2
007_4,1,1,0,Micro - 1/2
007_5,2,11,0,Micro - 1/2
007_6,2,6,2,Micro - 1/2
007_7,0,3,2,Micro - 1/2
008_1,0,3,0,Micro - 1/2
008_5,0,3,0,Micro - 1/2
008_6,0,4,0,Micro - 1/2
008_7,0,9,0,Micro - 1/2
009_2,0,2,1,Micro - 1/2
009_3,1,10,2,Micro - 1/2
009_4,0,3,0,Micro - 1/2
009_6,0,2,0,Micro - 1/2
009_7,0,2,0,Micro - 1/2
010_1,0,0,0,Micro - 1/2
010_2,0,0,2,Micro - 1/2
010_3,0,0,0,Micro - 1/2
010_4,0,0,2,Micro - 1/2
010_5,0,0,0,Micro - 1/2
010_6,0,0,0,Micro - 1/2
010_7,0,0,0,Micro - 1/2
011_1,0,4,1,Micro - 1/2
011_2,0,0,4,Micro - 1/2
011_3,1,2,3,Micro - 1/2
011_4,0,8,4,Micro - 1/2
011_5,0,1,1,Micro - 1/2
011_6,0,2,4,Micro - 1/2
011_7,0,14,2,Micro - 1/2
012_3,0,17,2,Micro - 1/2
012_4,0,2,0,Micro - 1/2
012_5,0,4,0,Micro - 1/2
012_6,0,13,0,Micro - 1/2
012_7,1,4,0,Micro - 1/2
013_1,1,6,4,Micro - 1/2
013_2,0,9,0,Micro - 1/2
013_3,0,3,0,Micro - 1/2
013_6,0,3,0,Micro - 1/2
013_7,0,12,1,Micro - 1/2
014_1,1,3,1,Micro - 1/2
014_2,1,8,1,Micro - 1/2
014_3,1,8,1,Micro - 1/2
014_4,0,13,0,Micro - 1/2
014_5,1,8,0,Micro - 1/2
014_6,0,6,3,Micro - 1/2
014_7,0,22,1,Micro - 1/2
015_1,0,6,0,Micro - 1/2
015_3,0,0,0,Micro - 1/2
015_5,0,4,3,Micro - 1/2
015_6,0,13,0,Micro - 1/2
015_7,0,0,0,Micro - 1/2
016_1,0,1,0,Micro - 1/2
016_2,0,3,0,Micro - 1/2
016_4,0,3,0,Micro - 1/2
016_5,0,1,0,Micro - 1/2
016_6,0,1,0,Micro - 1/2
016_7,0,7,5,Micro - 1/2
017_1,0,3,0,Micro - 1/2
017_2,0,2,0,Micro - 1/2
017_3,0,0,4,Micro - 1/2
017_4,0,3,0,Micro - 1/2
017_5,0,6,0,Micro - 1/2
017_6,1,5,1,Micro - 1/2
018_1,0,0,1,Micro - 1/2
018_2,0,1,0,Micro - 1/2
018_3,0,0,1,Micro - 1/2
018_4,0,0,0,Micro - 1/2
018_5,0,1,1,Micro - 1/2
018_6,0,0,0,Micro - 1/2
018_7,0,0,1,Micro - 1/2
019_1,0,5,0,Micro - 1/2
019_2,0,3,0,Micro - 1/2
019_3,0,0,1,Micro - 1/2
019_4,1,3,0,Micro - 1/2
019_5,0,3,1,Micro - 1/2
019_7,0,1,0,Micro - 1/2
020_1,0,0,4,Micro - 1/2
020_2,0,0,0,Micro - 1/2
020_3,0,0,0,Micro - 1/2
020_4,0,0,2,Micro - 1/2
020_5,0,0,0,Micro - 1/2
020_6,0,0,0,Micro - 1/2
020_7,0,0,3,Micro - 1/2
021_3,0,0,0,Micro - 1/2
021_7,0,7,2,Micro - 1/2
022_2,1,5,0,Micro - 1/2
022_3,0,1,2,Micro - 1/2
022_4,0,0,1,Micro - 1/2
022_5,1,0,0,Micro - 1/2
022_6,0,3,0,Micro - 1/2
023_1,1,1,0,Micro - 1/2
023_4,0,4,0,Micro - 1/2
024_2,0,0,1,Micro - 1/2
024_3,0,0,0,Micro - 1/2
024_5,0,0,0,Micro - 1/2
025_3,0,0,0,Micro - 1/2
025_4,0,9,2,Micro - 1/2
025_5,1,6,0,Micro - 1/2
025_6,1,2,0,Micro - 1/2
026_1,2,2,0,Micro - 1/2
